iter	Passed	Remaining
0	9	9590
1	16	8117
2	21	7256
3	31	7811
4	38	7619
5	43	7202
6	47	6788
7	50	6246
8	54	6035
9	59	5892
10	63	5690
11	67	5571
12	70	5347
13	72	5078
14	74	4924
15	77	4777
16	79	4608
17	84	4617
18	90	4651
19	94	4611
20	95	4452
21	98	4392
22	99	4244
23	104	4236
24	110	4305
25	117	4384
26	121	4378
27	127	4436
28	132	4443
29	138	4478
30	144	4503
31	148	4486
32	152	4456
33	157	4484
34	164	4544
35	171	4591
36	177	4613
37	182	4632
38	186	4602
39	193	4639
40	197	4609
41	202	4615
42	205	4564
43	213	4634
44	220	4671
45	224	4661
46	227	4620
47	229	4556
48	236	4599
49	241	4587
50	248	4618
51	255	4653
52	261	4664
53	266	4669
54	271	4665
55	277	4669
56	283	4682
57	289	4699
58	297	4738
59	303	4756
60	309	4760
61	315	4778
62	321	4776
63	326	4770
64	330	4752
65	336	4766
66	348	4854
67	359	4928
68	371	5013
69	393	5229
70	410	5376
71	419	5405
72	427	5432
73	432	5410
74	438	5403
75	443	5390
76	448	5372
77	453	5359
78	458	5342
79	461	5312
80	466	5294
81	472	5294
82	479	5295
83	485	5299
84	492	5299
85	498	5296
86	503	5286
87	509	5278
88	516	5284
89	520	5266
90	538	5375
91	546	5393
92	554	5403
93	561	5409
94	569	5426
95	593	5586
96	600	5589
97	605	5571
98	610	5553
99	615	5543
100	621	5533
101	625	5510
102	629	5486
103	634	5467
104	639	5452
105	646	5450
106	652	5447
107	657	5433
108	664	5427
109	669	5413
110	676	5417
111	683	5420
112	690	5420
113	695	5405
114	701	5396
115	708	5397
116	714	5389
117	720	5388
118	725	5374
119	731	5364
120	737	5356
121	744	5355
122	747	5331
123	751	5311
124	758	5306
125	764	5301
126	770	5294
127	776	5288
128	783	5288
129	790	5292
130	797	5292
131	802	5277
132	808	5267
133	813	5260
134	820	5257
135	826	5249
136	832	5245
137	839	5243
138	845	5235
139	850	5226
140	856	5216
141	861	5208
142	869	5210
143	875	5205
144	880	5194
145	889	5201
146	897	5205
147	905	5211
148	915	5226
149	928	5258
150	943	5305
151	955	5328
152	970	5370
153	980	5385
154	993	5417
155	1004	5433
156	1016	5459
157	1024	5457
158	1031	5458
159	1038	5449
160	1042	5431
161	1047	5417
162	1053	5411
163	1059	5402
164	1068	5405
165	1078	5419
166	1089	5435
167	1096	5429
168	1124	5528
169	1135	5543
170	1142	5539
171	1147	5524
172	1152	5511
173	1158	5498
174	1164	5491
175	1170	5479
176	1174	5462
177	1181	5454
178	1185	5438
179	1192	5431
180	1198	5422
181	1205	5417
182	1211	5407
183	1217	5401
184	1223	5389
185	1229	5380
186	1235	5371
187	1241	5360
188	1245	5345
189	1251	5334
190	1258	5329
