iter	Accuracy	Logloss
0	0.7183333333	0.6622231818
1	0.7183333333	0.6406306315
2	0.73	0.6178792065
3	0.7416666667	0.5976951441
4	0.7433333333	0.5823152966
5	0.7433333333	0.5676418952
6	0.7566666667	0.5522125821
7	0.7616666667	0.5406404634
8	0.7583333333	0.5349254555
9	0.7583333333	0.5313251459
10	0.76	0.5240104422
11	0.76	0.5177993269
12	0.77	0.5128155865
13	0.77	0.5089896247
14	0.7766666667	0.5012963242
15	0.7816666667	0.4942772192
16	0.7783333333	0.4923216584
17	0.7783333333	0.490502235
18	0.785	0.4872650716
19	0.79	0.4852659896
20	0.8	0.480090668
21	0.8	0.474722198
22	0.8	0.470821982
23	0.8033333333	0.4688692709
24	0.8033333333	0.4688269283
25	0.7983333333	0.4654661733
26	0.7983333333	0.461886585
27	0.7983333333	0.4611109536
28	0.7966666667	0.4597635805
29	0.805	0.4555730829
30	0.805	0.4535392433
31	0.8133333333	0.4454073241
32	0.815	0.4423661883
33	0.8266666667	0.4373233957
34	0.8233333333	0.4357069644
35	0.8233333333	0.435661173
36	0.8316666667	0.4275479438
37	0.8316666667	0.4275261537
38	0.84	0.4245330271
39	0.8416666667	0.4220045368
40	0.84	0.4203365587
41	0.84	0.4196855362
42	0.8383333333	0.4178444089
43	0.835	0.4164987617
44	0.8383333333	0.4142696933
45	0.8383333333	0.4108165021
46	0.8416666667	0.4079896556
47	0.8433333333	0.4063298088
48	0.8433333333	0.406192007
49	0.8433333333	0.4048743961
50	0.8433333333	0.402804674
51	0.8416666667	0.4003617168
52	0.8433333333	0.3956482992
53	0.8433333333	0.3941339395
54	0.85	0.3917596564
55	0.8516666667	0.3895109715
56	0.8516666667	0.3837247031
57	0.8483333333	0.3814588346
58	0.8483333333	0.379596958
59	0.8533333333	0.3760507064
60	0.8633333333	0.3726617252
61	0.8616666667	0.3722736441
62	0.865	0.3668703364
63	0.8633333333	0.3634761449
64	0.87	0.3605888768
65	0.8733333333	0.3571400991
66	0.8733333333	0.3569975706
67	0.875	0.3556060598
68	0.875	0.3554913569
69	0.875	0.3534939355
70	0.875	0.3501799969
71	0.88	0.3464558558
72	0.8833333333	0.3442311252
73	0.885	0.3431210352
74	0.885	0.3411977852
75	0.8883333333	0.3387483649
76	0.895	0.3363159359
77	0.895	0.3363139744
78	0.8966666667	0.3311364889
79	0.895	0.3288606368
80	0.8916666667	0.3272923994
81	0.8916666667	0.3266455655
82	0.8933333333	0.3224944884
83	0.8983333333	0.3185869798
84	0.905	0.3141899328
85	0.905	0.3140969918
86	0.9066666667	0.3124868454
87	0.9066666667	0.3118938828
88	0.91	0.3099373177
89	0.9116666667	0.3084959644
90	0.9116666667	0.3067074913
91	0.915	0.3038240168
92	0.9133333333	0.3018729302
93	0.9116666667	0.3017366328
94	0.915	0.2994002674
95	0.9166666667	0.2973670255
96	0.9166666667	0.2956419985
97	0.915	0.2932372947
98	0.915	0.293173986
99	0.9133333333	0.2909288612
100	0.9133333333	0.2882623915
