iter	Accuracy	Logloss
0	0.6866666667	0.6640435581
1	0.7333333333	0.6357076381
2	0.74	0.6113025333
3	0.7333333333	0.5932343139
4	0.7346666667	0.5813367674
5	0.732	0.5697776349
6	0.7333333333	0.5633179756
7	0.7373333333	0.5533287543
8	0.744	0.5413614518
9	0.7453333333	0.5292440311
10	0.756	0.5213023461
11	0.7613333333	0.5149769027
12	0.76	0.511558873
13	0.76	0.5051720777
14	0.7613333333	0.5016652999
15	0.764	0.4979914567
16	0.764	0.4923197284
17	0.768	0.4898662468
18	0.7706666667	0.485399929
19	0.7786666667	0.4812706762
20	0.784	0.4776568824
21	0.7866666667	0.4750238673
22	0.7866666667	0.4725314483
23	0.788	0.4661524109
24	0.792	0.4614325802
25	0.7973333333	0.4582147543
26	0.792	0.456523404
27	0.7986666667	0.4548406491
28	0.7946666667	0.4521443137
29	0.8053333333	0.4481675003
30	0.8093333333	0.4464602118
31	0.8106666667	0.4452257371
32	0.8106666667	0.4420721324
33	0.812	0.4394460633
34	0.8146666667	0.4370075866
35	0.8133333333	0.4351229486
36	0.8173333333	0.4338497706
37	0.8186666667	0.4324418808
38	0.8213333333	0.4307958301
39	0.8213333333	0.4306460844
40	0.8213333333	0.4306460785
41	0.8226666667	0.4296938879
42	0.8253333333	0.4271527657
43	0.8293333333	0.4247958014
44	0.8346666667	0.4235357737
45	0.836	0.4211939773
46	0.8373333333	0.4194009781
47	0.8386666667	0.4160281858
48	0.8386666667	0.4152252692
49	0.8386666667	0.4141212736
50	0.836	0.4106314226
51	0.832	0.4085124024
52	0.84	0.4050011113
53	0.8466666667	0.4018468072
54	0.8466666667	0.3998510996
55	0.8493333333	0.3990875677
56	0.8506666667	0.3965958974
57	0.8506666667	0.3948506741
58	0.8506666667	0.39407736
59	0.8533333333	0.3916718936
60	0.8573333333	0.3878762078
61	0.8586666667	0.3850373297
62	0.8626666667	0.3814324514
63	0.8626666667	0.3814194786
64	0.8613333333	0.3799249645
65	0.86	0.3795152603
66	0.8573333333	0.3781899209
67	0.8626666667	0.3759084996
68	0.8626666667	0.3739666831
69	0.864	0.3723706631
70	0.864	0.3723635144
71	0.8626666667	0.3704148363
72	0.868	0.3667242847
73	0.872	0.3650207638
74	0.8746666667	0.3634858177
75	0.8746666667	0.3616414088
76	0.8746666667	0.3607294077
77	0.876	0.3596703267
78	0.8773333333	0.3572950959
79	0.88	0.3557470473
80	0.88	0.3544804826
81	0.884	0.3528907926
82	0.884	0.3520212533
83	0.884	0.351713419
84	0.8853333333	0.3503838704
85	0.8866666667	0.3490862975
86	0.8866666667	0.3474996517
87	0.8853333333	0.3456769165
88	0.888	0.3447936144
89	0.892	0.340493508
90	0.8906666667	0.3384951666
91	0.8906666667	0.3383367518
92	0.892	0.337224509
93	0.8933333333	0.3365038646
94	0.8973333333	0.3337872871
95	0.9	0.3297285654
96	0.9053333333	0.327243358
97	0.9053333333	0.3258920037
98	0.904	0.3248883435
99	0.9053333333	0.3227520201
100	0.9053333333	0.3203014969
101	0.9066666667	0.3192009875
102	0.9066666667	0.3161213789
103	0.9106666667	0.3125662357
104	0.9146666667	0.3105137605
105	0.9173333333	0.3085452546
106	0.9173333333	0.3077154692
107	0.916	0.3059700515
108	0.9186666667	0.304062049
109	0.9186666667	0.3000361279
110	0.9173333333	0.2987495625
111	0.9186666667	0.2971230666
112	0.916	0.2947250262
113	0.9186666667	0.2923634889
114	0.9226666667	0.2907481969
115	0.9213333333	0.2895419018
116	0.92	0.288718945
117	0.9213333333	0.2875839505
118	0.9186666667	0.2861949898
119	0.92	0.2840495918
120	0.92	0.2820778025
121	0.9213333333	0.2808300478
122	0.92	0.2803035524
123	0.924	0.2794847789
124	0.9226666667	0.2787631663
125	0.924	0.2773705313
126	0.9266666667	0.2759085856
127	0.928	0.2745535046
128	0.9293333333	0.2720566735
129	0.9306666667	0.2710693721
130	0.9346666667	0.2699340722
131	0.9346666667	0.2681346727
132	0.9346666667	0.2662995335
133	0.94	0.2638751219
134	0.9426666667	0.2628281176
135	0.9413333333	0.2607310971
136	0.9426666667	0.2595823568
137	0.9466666667	0.258277594
138	0.948	0.2576195631
139	0.948	0.2561571642
140	0.948	0.2550088095
141	0.948	0.2542268989
142	0.948	0.2534495583
143	0.948	0.2532209245
144	0.9493333333	0.2516802561
145	0.9493333333	0.2514383664
146	0.9506666667	0.2509650664
147	0.9506666667	0.2502053926
148	0.9546666667	0.2487980294
149	0.956	0.2483853164
150	0.9533333333	0.2470022782
151	0.9533333333	0.2454341601
152	0.9533333333	0.2442214808
153	0.9546666667	0.2431337615
154	0.956	0.2402492896
155	0.9573333333	0.2391941214
156	0.9573333333	0.2391062532
157	0.9586666667	0.2388411022
158	0.9613333333	0.2374247296
159	0.96	0.2357443031
160	0.96	0.2349434958
161	0.96	0.2341469396
162	0.96	0.2337020674
163	0.9613333333	0.2326107657
164	0.9613333333	0.23214692
165	0.9613333333	0.2316529507
166	0.9613333333	0.2303823819
167	0.9613333333	0.2302074579
168	0.9626666667	0.2291056419
169	0.9626666667	0.2280057656
170	0.9626666667	0.2274694058
171	0.9626666667	0.2267269584
172	0.9626666667	0.225997536
173	0.9626666667	0.2249671191
174	0.9626666667	0.2236230261
175	0.9626666667	0.2234337913
176	0.9626666667	0.2221510292
177	0.9626666667	0.2212973889
178	0.964	0.2202513296
179	0.964	0.2185647535
180	0.9666666667	0.2176541863
181	0.9666666667	0.2171904021
182	0.968	0.2162809241
183	0.968	0.2157951711
184	0.9666666667	0.214918642
185	0.9666666667	0.2142679268
186	0.9666666667	0.213753911
187	0.968	0.2126417138
188	0.9666666667	0.2119456641
189	0.9653333333	0.2111835244
190	0.9666666667	0.2104234606
191	0.968	0.2090660586
192	0.9693333333	0.2080757253
193	0.9693333333	0.2076325525
194	0.9693333333	0.205910957
195	0.9706666667	0.2050210668
196	0.9693333333	0.204268017
197	0.9706666667	0.2038233906
198	0.968	0.2028708215
199	0.968	0.2023468537
200	0.968	0.2007402697
201	0.9693333333	0.2003854636
202	0.9693333333	0.2001423626
203	0.9693333333	0.2000384112
204	0.9693333333	0.1989306543
205	0.9693333333	0.1976789833
206	0.9693333333	0.1968995149
207	0.9706666667	0.1960605819
208	0.9706666667	0.1958896614
209	0.9706666667	0.1949953128
210	0.972	0.1942050103
211	0.972	0.1931959649
212	0.972	0.192979617
213	0.972	0.192489168
214	0.972	0.192122698
215	0.972	0.1915114377
216	0.972	0.1904228941
217	0.972	0.1901215044
218	0.972	0.1895293859
219	0.972	0.188234491
220	0.972	0.1876480873
221	0.972	0.1866991561
222	0.972	0.1853043686
223	0.972	0.1844836621
224	0.972	0.184092007
225	0.972	0.1837432099
226	0.972	0.1836858371
227	0.972	0.1828638435
228	0.972	0.1822495823
229	0.972	0.1816472633
230	0.972	0.1807366499
231	0.972	0.1797314242
232	0.972	0.1792290317
233	0.9733333333	0.1784674549
234	0.972	0.1780152875
235	0.9733333333	0.1767570548
236	0.9746666667	0.1761758766
237	0.9746666667	0.1758614627
238	0.9746666667	0.1754763247
239	0.976	0.1743661879
240	0.976	0.1733199046
241	0.976	0.173297774
242	0.976	0.1732337199
243	0.976	0.1726509543
244	0.976	0.1722987211
245	0.976	0.1717818551
246	0.976	0.1714870432
247	0.9773333333	0.171429504
248	0.9773333333	0.1707568702
249	0.9773333333	0.1699607988
250	0.9773333333	0.1698498816
251	0.976	0.1689398923
252	0.9773333333	0.1686977887
253	0.9786666667	0.1683682974
254	0.9786666667	0.1679226585
255	0.98	0.1667992155
256	0.9813333333	0.1663839072
257	0.98	0.1659750895
258	0.9813333333	0.1654214407
259	0.9813333333	0.1646545879
260	0.98	0.1641127021
261	0.98	0.1635843593
262	0.98	0.1633759703
263	0.98	0.1626978686
264	0.98	0.162324842
265	0.98	0.1615479801
266	0.9813333333	0.1612719938
267	0.9813333333	0.1608002692
268	0.9813333333	0.1606061068
269	0.9813333333	0.1601191068
270	0.9813333333	0.1599856181
271	0.9826666667	0.1591589725
272	0.9826666667	0.1585800826
273	0.9813333333	0.1580763135
274	0.9813333333	0.1577050532
275	0.9813333333	0.1570046233
276	0.9813333333	0.1565394668
277	0.9813333333	0.1565123073
278	0.9813333333	0.1556444821
279	0.9813333333	0.1552174152
280	0.9813333333	0.154741538
281	0.9813333333	0.154386493
282	0.9813333333	0.1538929427
283	0.9826666667	0.1531850626
284	0.9826666667	0.1527687971
285	0.9826666667	0.1525578726
286	0.9826666667	0.1523664399
287	0.9826666667	0.1513736207
288	0.984	0.1506226179
289	0.9826666667	0.1491628943
290	0.9826666667	0.1488118105
291	0.984	0.1484960932
292	0.9826666667	0.1474665566
293	0.984	0.1472433786
294	0.9826666667	0.1468888159
295	0.9826666667	0.1468172758
296	0.9826666667	0.1462808713
297	0.9826666667	0.1458066798
298	0.9826666667	0.144956455
299	0.9826666667	0.1449453567
300	0.9853333333	0.1446401444
301	0.9853333333	0.1444488425
302	0.9853333333	0.1440254974
303	0.9853333333	0.1440116099
304	0.9866666667	0.1435981887
305	0.9853333333	0.1430002926
306	0.984	0.1428188774
307	0.984	0.1425958114
308	0.9866666667	0.1417077714
309	0.9866666667	0.1415895995
310	0.9866666667	0.1412053807
311	0.9866666667	0.1396003547
312	0.9866666667	0.1393046307
313	0.9866666667	0.1386954123
314	0.9866666667	0.1383832193
315	0.9866666667	0.1376012147
316	0.9866666667	0.1372979203
