iter	Passed	Remaining
0	68	68343
1	72	36364
2	75	24973
3	79	19776
4	81	16275
5	83	13819
6	84	12019
7	86	10734
8	90	9985
9	92	9171
10	95	8581
11	97	8001
12	100	7665
13	104	7352
14	105	6949
15	107	6622
16	110	6374
17	111	6102
18	113	5855
19	116	5697
20	117	5500
21	119	5320
22	122	5189
23	123	5024
24	125	4900
25	127	4765
26	131	4723
27	133	4631
28	135	4534
29	137	4450
30	139	4373
31	141	4278
32	143	4210
33	145	4122
34	146	4037
35	148	3963
36	149	3887
37	150	3818
38	153	3771
39	154	3710
40	155	3627
41	156	3563
42	157	3511
43	159	3457
44	160	3408
45	162	3359
46	164	3336
47	166	3293
48	167	3241
49	168	3194
50	169	3156
51	171	3119
52	172	3075
53	174	3056
54	177	3050
55	178	3015
56	179	2975
57	181	2945
58	183	2930
59	185	2901
60	187	2882
61	189	2862
62	190	2835
63	192	2810
64	193	2786
65	195	2771
66	196	2740
67	198	2718
68	200	2698
69	202	2686
70	205	2686
71	206	2662
72	208	2650
73	210	2636
74	212	2620
75	214	2602
76	215	2585
77	217	2568
78	218	2551
79	220	2538
80	222	2520
81	224	2508
82	226	2500
83	227	2483
84	229	2474
85	231	2460
86	233	2446
87	234	2432
88	236	2418
89	238	2406
90	239	2394
91	241	2380
92	242	2369
93	244	2356
94	246	2348
95	248	2337
96	251	2337
97	252	2326
98	254	2315
99	256	2306
100	257	2295
101	259	2284
102	261	2274
103	262	2263
104	264	2253
105	266	2244
106	267	2233
107	269	2223
108	270	2215
109	272	2204
110	274	2194
111	275	2185
112	277	2177
113	279	2168
114	280	2160
115	282	2153
116	284	2145
117	285	2134
118	287	2126
119	289	2119
120	290	2111
121	292	2102
122	293	2095
123	295	2088
124	297	2080
125	298	2072
126	300	2068
127	306	2085
128	308	2083
129	310	2075
130	311	2067
131	313	2062
132	315	2054
133	317	2051
134	318	2043
135	321	2042
136	323	2034
137	325	2032
138	327	2029
139	329	2022
140	332	2023
141	333	2017
142	336	2016
143	338	2011
144	340	2005
145	342	2000
146	343	1994
147	345	1988
148	347	1982
149	349	1981
150	351	1975
151	352	1969
152	355	1966
153	356	1960
154	358	1955
155	360	1949
156	362	1944
157	363	1938
158	365	1933
159	367	1927
160	368	1921
161	370	1918
162	372	1913
163	374	1908
164	375	1902
165	377	1897
166	379	1891
167	380	1885
168	382	1881
169	384	1875
170	385	1870
171	387	1864
172	388	1858
173	390	1853
174	391	1846
175	393	1840
176	394	1835
177	396	1831
178	398	1825
179	399	1819
180	401	1817
181	403	1812
182	404	1806
183	406	1802
184	408	1797
185	409	1792
186	411	1787
187	412	1783
188	414	1779
189	416	1774
190	417	1768
191	419	1764
192	420	1758
193	422	1754
194	423	1748
195	425	1743
196	426	1738
197	427	1733
198	429	1728
199	431	1724
200	432	1720
201	434	1715
202	436	1712
203	437	1708
204	439	1704
205	441	1700
206	442	1696
207	444	1692
208	445	1687
209	447	1682
210	448	1678
211	451	1676
212	452	1673
213	454	1669
214	456	1668
215	458	1664
216	459	1659
217	461	1655
218	462	1651
219	464	1648
220	466	1643
221	467	1639
222	469	1637
223	471	1633
224	473	1629
225	474	1625
226	476	1623
227	478	1619
228	479	1615
229	481	1611
