iter	Accuracy	Logloss
0	0.7837837838	0.678223069
1	0.8378378378	0.6599341601
2	0.8108108108	0.6515407529
3	0.7837837838	0.6372354318
4	0.7567567568	0.6239863269
5	0.8108108108	0.6141481537
6	0.8108108108	0.6043998079
7	0.7837837838	0.5984274331
8	0.7837837838	0.5929729651
9	0.7837837838	0.5776224369
10	0.8378378378	0.5698377891
11	0.7837837838	0.5638970535
12	0.7837837838	0.5558575708
13	0.7837837838	0.5491387534
14	0.7837837838	0.5391558127
15	0.7837837838	0.5386279839
16	0.8648648649	0.5237204723
17	0.8648648649	0.5171299035
18	0.8648648649	0.5133771508
19	0.8378378378	0.5071976274
20	0.8648648649	0.4983606446
21	0.8648648649	0.4938278125
22	0.8648648649	0.4884544768
23	0.8648648649	0.4763699155
24	0.8648648649	0.4710159023
25	0.8648648649	0.4614681987
26	0.8648648649	0.4470466844
27	0.8918918919	0.4434872151
28	0.8918918919	0.4355225055
29	0.8918918919	0.4291506668
30	0.8918918919	0.420192236
31	0.8648648649	0.4160887631
32	0.8648648649	0.4111641758
33	0.8378378378	0.4030078142
34	0.8378378378	0.3987764338
35	0.8378378378	0.3945425647
36	0.8378378378	0.3884650556
37	0.8378378378	0.3848106293
38	0.8378378378	0.3783634444
39	0.8648648649	0.3728113086
40	0.8648648649	0.3690992919
41	0.8648648649	0.3635766464
42	0.8648648649	0.3607089169
43	0.8648648649	0.3559397269
44	0.8648648649	0.3533491324
45	0.8648648649	0.3509248086
46	0.8648648649	0.346544687
47	0.8648648649	0.3373150981
48	0.8918918919	0.3286380444
49	0.8918918919	0.3204657775
