iter	Accuracy	Logloss
0	1	0.6734468755
1	1	0.6486089956
2	1	0.6268537132
3	1	0.5999651378
4	1	0.5630978168
5	0.972972973	0.5419427683
6	0.972972973	0.5224749405
7	0.972972973	0.4857674475
8	0.972972973	0.4693186047
9	0.972972973	0.4395987763
10	0.972972973	0.4187650812
11	0.972972973	0.3996798969
12	0.972972973	0.3877306555
13	0.972972973	0.3626806821
14	0.972972973	0.3541046562
15	0.972972973	0.3465794291
16	0.972972973	0.3371606769
17	0.972972973	0.3294381426
18	0.972972973	0.3140502856
19	0.972972973	0.2987919119
20	0.972972973	0.2810276382
21	0.972972973	0.2706843537
22	0.972972973	0.2556943318
23	0.972972973	0.2473511392
24	0.972972973	0.2417612317
25	0.972972973	0.2324764815
26	0.972972973	0.2210918123
27	0.972972973	0.21083152
28	0.972972973	0.2064316459
29	0.972972973	0.2003891109
30	0.972972973	0.1975462231
31	0.972972973	0.1919663865
32	0.972972973	0.1841590524
33	0.972972973	0.1796784355
34	0.972972973	0.1778880566
35	0.972972973	0.1733665308
36	0.972972973	0.1711139165
37	0.972972973	0.1662932389
38	0.972972973	0.1634990607
39	0.972972973	0.1617377485
40	0.972972973	0.1575254526
41	0.972972973	0.1528632395
42	0.972972973	0.1495417567
43	0.972972973	0.1473749738
44	0.972972973	0.1427303604
45	0.972972973	0.1411281807
46	0.972972973	0.1373309578
47	0.972972973	0.1358664609
48	0.972972973	0.1342620471
49	0.972972973	0.1328983329
50	0.972972973	0.1314738922
51	0.972972973	0.1293198598
52	0.972972973	0.127493515
53	0.972972973	0.1265606042
54	0.972972973	0.1238739145
55	0.972972973	0.1218109655
56	0.972972973	0.1206863878
57	0.972972973	0.1197181862
58	0.972972973	0.1186709015
59	0.972972973	0.1178097061
60	0.972972973	0.1168730571
61	0.972972973	0.1158574816
62	0.972972973	0.114770629
63	0.972972973	0.1137266626
64	0.972972973	0.1128755699
65	0.972972973	0.1120555539
66	0.972972973	0.1111301901
67	0.972972973	0.1103383765
68	0.972972973	0.1095481623
69	0.972972973	0.1088262253
70	0.972972973	0.1081205824
71	0.972972973	0.1073645719
72	0.972972973	0.1065741511
73	0.972972973	0.1058123924
74	0.972972973	0.1050683744
75	0.972972973	0.1043112914
76	0.972972973	0.103650318
77	0.972972973	0.1029746096
78	0.972972973	0.1022300797
79	0.972972973	0.1015649741
80	0.972972973	0.1008545875
81	0.972972973	0.1002261421
82	0.972972973	0.09957303596
83	1	0.09887787771
84	1	0.09819177835
85	1	0.09750189077
86	1	0.09688096786
87	1	0.09630847579
88	1	0.09567109279
89	1	0.09501369963
90	1	0.09445106742
91	1	0.09383882436
92	1	0.09329114645
93	1	0.09270298944
94	1	0.09206432328
95	1	0.09153696447
96	1	0.09102411921
97	1	0.09050768768
98	1	0.09000625111
99	1	0.0895104759
