iter	Passed	Remaining
0	59	5917
1	60	2970
2	61	1981
3	62	1504
4	63	1199
5	63	999
6	64	857
7	64	745
8	65	659
9	65	588
10	65	533
11	66	485
12	66	446
13	66	411
14	67	382
15	67	356
16	68	336
17	69	316
18	69	297
19	69	279
20	70	263
21	70	250
22	70	236
23	71	225
24	71	214
25	71	204
26	72	194
27	72	185
28	72	177
29	72	169
30	73	163
31	73	157
32	74	150
33	74	144
34	74	138
35	74	132
36	75	129
37	76	125
38	77	121
39	78	117
40	78	113
41	78	108
42	79	104
43	79	101
44	79	97
45	80	94
46	80	90
47	80	87
48	81	84
49	81	81
50	81	78
51	82	75
52	82	73
53	83	71
54	84	68
55	84	66
56	85	64
57	85	62
58	86	59
59	86	57
60	86	55
61	87	53
62	87	51
63	88	49
64	88	47
65	89	45
66	89	44
67	90	42
68	90	40
69	90	38
70	91	37
71	91	35
72	91	33
73	92	32
74	92	30
75	93	29
76	93	27
77	94	26
78	94	25
79	94	23
80	95	22
81	95	21
82	96	19
83	96	18
84	96	17
85	97	15
86	97	14
87	98	13
88	98	12
89	98	10
90	99	9
91	99	8
92	100	7
93	100	6
94	101	5
95	101	4
96	101	3
97	102	2
98	102	1
99	103	0
