iter	Logloss	Accuracy
0	0.6740077706	0.8183856502
1	0.6569952103	0.8116591928
2	0.6385501988	0.8295964126
3	0.623032359	0.8295964126
4	0.6071727377	0.8295964126
5	0.5943646548	0.8295964126
6	0.5814034615	0.8228699552
7	0.569020674	0.8228699552
8	0.5586555814	0.8228699552
9	0.5478717151	0.8251121076
10	0.5375682055	0.8228699552
11	0.5287594791	0.8228699552
12	0.5186979981	0.8228699552
13	0.5105131028	0.8228699552
14	0.5036001429	0.8228699552
15	0.4985638536	0.8228699552
16	0.4913519654	0.8228699552
17	0.4833902164	0.8251121076
18	0.4774774967	0.8273542601
19	0.4725418927	0.8340807175
20	0.4670760065	0.8340807175
21	0.4614500861	0.83632287
22	0.4566398596	0.8340807175
23	0.451825974	0.8340807175
24	0.4486708842	0.83632287
25	0.4444209115	0.8430493274
26	0.439295545	0.8430493274
27	0.4347315609	0.8385650224
28	0.4310491206	0.8385650224
29	0.4267259128	0.8385650224
30	0.4235361746	0.83632287
31	0.4230758764	0.83632287
32	0.4204421521	0.8408071749
33	0.4172635406	0.8385650224
34	0.4151264233	0.8408071749
35	0.412212095	0.8408071749
36	0.4103870533	0.8408071749
37	0.4082696707	0.8430493274
38	0.4078233515	0.8430493274
39	0.4058784441	0.8452914798
40	0.4035792693	0.8430493274
41	0.4029585505	0.8430493274
42	0.4023430961	0.8430493274
43	0.4003295279	0.8452914798
44	0.3981441789	0.8452914798
45	0.3980577202	0.8408071749
46	0.3971778382	0.8475336323
47	0.3953790902	0.8475336323
48	0.3937974498	0.8497757848
49	0.3926023107	0.8475336323
50	0.3923347231	0.8497757848
51	0.3915709253	0.8497757848
52	0.3911530504	0.8497757848
53	0.3896974782	0.8475336323
54	0.3890407631	0.8497757848
55	0.3882941713	0.8497757848
56	0.3852691701	0.8497757848
57	0.3810720262	0.8565022422
58	0.3805924001	0.8542600897
59	0.3789901519	0.8587443946
60	0.3777420931	0.8542600897
61	0.3765710899	0.8587443946
62	0.3756555637	0.8542600897
63	0.3738158885	0.8565022422
64	0.3716199006	0.8587443946
65	0.3715651687	0.8587443946
66	0.3694956548	0.8587443946
67	0.3685286402	0.8587443946
68	0.3673491082	0.8587443946
69	0.3656340946	0.8565022422
70	0.3656224148	0.8565022422
71	0.3644709262	0.8565022422
72	0.3629214328	0.8587443946
73	0.3623526007	0.8587443946
74	0.3611490271	0.8587443946
75	0.3599940955	0.8565022422
76	0.3584756518	0.8609865471
77	0.3582872032	0.8609865471
78	0.3574643043	0.8609865471
79	0.3565107989	0.8609865471
