iter	Passed	Remaining
0	8	8190
1	12	6228
2	18	6207
3	27	6771
4	33	6689
5	36	6050
6	42	5973
7	49	6080
8	54	5979
9	61	6131
10	67	6100
11	72	5981
12	79	6031
13	86	6094
14	91	6032
15	96	5927
16	102	5908
17	107	5852
18	112	5804
19	117	5773
20	122	5691
21	127	5655
22	132	5645
23	138	5626
24	145	5689
25	152	5718
26	158	5719
27	163	5669
28	170	5694
29	177	5747
30	184	5777
31	189	5723
32	196	5770
33	203	5777
34	209	5776
35	216	5795
36	223	5804
37	227	5755
38	229	5655
39	236	5679
40	243	5695
41	246	5611
42	254	5653
43	263	5727
44	271	5763
45	272	5651
46	278	5646
47	283	5631
48	290	5634
49	297	5648
50	300	5588
51	304	5544
52	305	5456
53	311	5462
54	316	5433
55	322	5434
56	328	5440
57	335	5445
58	342	5460
59	349	5481
60	356	5480
61	363	5497
62	369	5496
63	376	5509
64	382	5508
65	387	5483
66	394	5488
67	400	5490
68	407	5496
69	413	5498
70	416	5444
71	424	5466
72	429	5448
73	435	5452
74	444	5484
75	452	5501
76	460	5516
77	462	5468
78	468	5462
79	476	5478
80	482	5476
81	487	5456
82	494	5468
83	500	5461
84	507	5462
85	514	5468
86	521	5477
87	528	5473
88	535	5479
89	543	5496
90	550	5498
91	554	5472
92	560	5466
93	567	5471
94	570	5431
95	577	5437
96	583	5433
97	587	5410
98	595	5419
99	602	5425
100	609	5423
101	612	5394
102	618	5387
103	622	5363
104	628	5357
105	631	5326
106	638	5330
107	644	5324
108	650	5320
109	656	5308
110	663	5314
111	670	5319
112	680	5337
113	687	5343
114	692	5332
115	699	5330
116	706	5334
117	714	5341
118	720	5336
119	728	5339
120	731	5317
121	739	5320
122	744	5311
123	749	5291
124	757	5299
125	764	5306
126	770	5295
127	774	5273
128	780	5266
129	787	5270
130	793	5262
131	800	5264
132	807	5264
133	810	5237
134	814	5218
135	821	5217
136	826	5203
137	833	5206
138	841	5209
139	846	5202
140	853	5198
141	859	5191
142	865	5186
143	872	5188
144	879	5185
145	885	5177
146	891	5172
147	898	5170
148	904	5165
149	909	5156
150	915	5149
151	921	5141
152	925	5125
153	934	5131
154	940	5128
155	946	5123
156	953	5119
157	960	5119
158	965	5108
159	971	5101
160	976	5090
161	983	5087
162	989	5079
163	993	5066
164	1000	5062
165	1005	5051
166	1011	5044
167	1017	5041
168	1023	5034
169	1029	5027
170	1035	5019
171	1041	5011
172	1047	5009
173	1051	4992
174	1056	4980
175	1058	4953
176	1062	4939
177	1068	4932
178	1074	4927
179	1081	4926
180	1083	4904
181	1090	4900
182	1096	4897
183	1101	4885
184	1109	4886
185	1113	4872
186	1118	4863
187	1122	4849
188	1126	4833
189	1128	4811
190	1133	4800
191	1138	4791
192	1143	4782
193	1150	4778
194	1155	4769
195	1161	4762
196	1164	4745
197	1171	4744
198	1178	4743
199	1183	4732
200	1190	4731
201	1198	4734
202	1204	4727
203	1211	4725
204	1213	4705
205	1219	4699
206	1226	4700
207	1235	4702
208	1240	4693
209	1243	4678
210	1245	4657
211	1252	4655
212	1258	4648
213	1262	4635
214	1264	4617
215	1272	4619
216	1278	4612
217	1283	4603
218	1289	4600
219	1296	4598
220	1301	4587
221	1308	4584
222	1316	4587
223	1321	4579
224	1326	4569
225	1333	4565
226	1340	4565
227	1348	4564
228	1356	4566
229	1371	4590
230	1377	4584
231	1384	4581
232	1391	4579
233	1393	4562
234	1400	4557
235	1406	4552
236	1409	4536
237	1416	4534
238	1425	4538
239	1435	4546
240	1444	4548
241	1452	4549
242	1460	4548
243	1469	4552
244	1475	4545
245	1479	4533
246	1484	4526
247	1491	4521
248	1498	4518
249	1504	4512
250	1509	4504
251	1516	4502
252	1523	4498
253	1529	4493
254	1536	4488
255	1542	4482
256	1548	4475
257	1554	4469
258	1570	4493
259	1576	4485
260	1583	4483
261	1588	4474
262	1595	4470
263	1602	4468
264	1607	4458
265	1613	4452
266	1619	4447
267	1626	4442
268	1631	4433
269	1636	4424
270	1644	4423
271	1651	4421
272	1657	4414
273	1665	4412
274	1671	4406
275	1676	4398
276	1681	4389
277	1689	4388
278	1696	4384
279	1703	4379
280	1709	4374
281	1714	4366
282	1719	4357
283	1727	4355
284	1734	4351
285	1740	4345
286	1745	4337
287	1751	4329
288	1759	4328
289	1766	4323
290	1771	4316
291	1777	4310
292	1784	4305
293	1790	4299
294	1798	4298
295	1805	4293
296	1809	4282
297	1816	4278
298	1824	4276
299	1831	4272
300	1836	4264
301	1842	4258
302	1889	4345
303	1895	4340
304	1902	4335
305	1909	4330
306	1915	4323
307	1923	4320
308	1934	4326
309	1946	4332
310	1985	4398
311	1992	4394
312	2000	4390
313	2008	4388
314	2016	4385
315	2022	4377
316	2026	4366
317	2033	4361
318	2041	4358
319	2046	4348
320	2051	4339
321	2060	4339
322	2068	4335
323	2075	4330
324	2082	4325
325	2088	4318
326	2097	4316
327	2104	4311
328	2113	4309
329	2120	4305
330	2129	4303
331	2136	4298
332	2143	4293
333	2151	4290
334	2159	4285
335	2165	4278
336	2172	4273
337	2179	4268
338	2186	4262
339	2193	4258
340	2201	4253
341	2210	4252
342	2219	4251
343	2225	4244
344	2231	4236
345	2237	4229
346	2244	4224
347	2251	4217
348	2257	4211
349	2265	4207
350	2274	4204
351	2282	4201
352	2290	4198
353	2296	4191
354	2304	4187
355	2311	4181
356	2317	4173
357	2321	4162
358	2325	4152
359	2330	4142
360	2339	4141
361	2348	4139
362	2356	4136
363	2365	4133
364	2372	4127
365	2381	4124
366	2389	4121
367	2395	4114
368	2404	4111
369	2411	4106
370	2419	4102
371	2426	4096
372	2433	4091
373	2441	4086
374	2447	4079
375	2454	4073
376	2462	4069
377	2469	4063
378	2476	4058
379	2482	4050
380	2487	4040
381	2493	4033
382	2501	4030
383	2508	4024
384	2518	4023
385	2527	4019
386	2537	4019
387	2545	4014
388	2553	4010
389	2564	4010
390	2573	4008
391	2582	4004
392	2589	3999
393	2596	3994
394	2605	3990
395	2612	3985
396	2620	3980
397	2629	3978
398	2636	3970
399	2644	3966
400	2650	3959
401	2657	3952
402	2664	3947
403	2670	3940
404	2676	3932
405	2683	3926
406	2690	3919
407	2696	3912
408	2703	3906
409	2712	3902
410	2718	3896
411	2726	3890
412	2734	3886
413	2742	3881
414	2750	3876
415	2759	3873
416	2768	3870
417	2775	3865
418	2783	3860
419	2790	3853
420	2798	3848
421	2806	3844
422	2813	3837
423	2820	3831
424	2827	3824
425	2831	3815
426	2837	3807
427	2844	3802
428	2850	3794
429	2858	3789
430	2867	3785
431	2876	3781
432	2883	3775
433	2890	3769
434	2897	3762
435	2903	3756
436	2911	3751
437	2919	3745
