iter	Passed	Remaining
0	67	67911
1	72	35993
2	74	24853
3	77	19331
4	80	15992
5	83	13767
6	86	12235
7	88	10915
8	90	9935
9	92	9136
10	94	8459
11	95	7885
12	97	7424
13	99	6986
14	102	6706
15	104	6398
16	106	6136
17	108	5894
18	108	5626
19	110	5429
20	113	5279
21	115	5149
22	117	4982
23	118	4838
24	121	4719
25	123	4621
26	124	4473
27	126	4385
28	128	4293
29	129	4181
30	131	4097
31	132	4018
32	135	3968
33	136	3880
34	138	3831
35	139	3740
36	141	3685
37	143	3627
38	145	3573
39	147	3528
40	148	3475
41	150	3432
42	152	3392
43	154	3353
44	155	3310
45	156	3249
46	159	3242
47	161	3212
48	163	3179
49	165	3144
50	167	3117
51	169	3097
52	171	3066
53	173	3037
54	175	3015
55	177	2986
56	180	2980
57	181	2953
58	182	2909
59	185	2905
60	187	2882
61	188	2854
62	190	2838
63	192	2808
64	194	2791
65	195	2765
66	197	2753
67	199	2737
68	201	2716
69	203	2698
70	203	2664
71	205	2647
72	206	2625
73	208	2611
74	210	2596
75	213	2593
76	215	2580
77	217	2573
78	219	2560
79	221	2547
80	223	2535
81	226	2532
82	227	2516
83	229	2507
84	231	2497
85	233	2485
86	236	2481
87	238	2469
88	240	2463
89	242	2453
90	245	2452
91	246	2437
92	249	2435
93	251	2422
94	254	2420
95	255	2403
96	257	2395
97	259	2387
98	261	2379
99	262	2363
100	264	2355
101	266	2346
102	269	2343
103	271	2337
104	274	2341
105	276	2332
106	278	2322
107	279	2305
108	280	2295
109	282	2286
110	284	2282
111	286	2273
112	288	2267
113	290	2254
114	291	2246
115	294	2242
116	295	2233
117	298	2229
118	300	2221
119	301	2213
120	303	2208
121	305	2199
122	307	2190
123	308	2182
124	311	2180
125	312	2168
126	314	2162
127	317	2161
128	319	2154
129	319	2140
130	323	2147
131	325	2138
132	327	2134
133	328	2121
134	330	2117
135	332	2111
136	334	2106
137	336	2099
138	339	2102
139	341	2096
140	343	2090
141	345	2089
142	348	2089
143	349	2077
144	351	2071
145	353	2065
146	354	2057
147	356	2053
148	358	2048
149	360	2042
150	362	2036
151	363	2030
152	364	2018
153	365	2009
154	367	2005
155	369	2001
156	371	1994
157	373	1989
158	375	1985
159	377	1981
160	378	1973
161	379	1963
162	381	1957
163	383	1955
164	385	1951
165	387	1946
166	389	1941
167	390	1932
168	392	1927
169	393	1922
170	395	1917
171	397	1913
172	399	1908
173	400	1900
174	402	1899
175	404	1894
176	408	1898
177	411	1898
178	414	1900
179	415	1893
180	417	1889
181	419	1885
182	421	1882
183	424	1881
184	426	1876
185	427	1872
186	429	1865
187	430	1857
188	431	1850
189	433	1846
190	435	1842
191	436	1834
192	438	1832
193	441	1832
194	442	1828
195	444	1823
196	447	1822
197	448	1817
198	449	1808
199	452	1808
200	455	1810
201	457	1806
202	459	1803
203	462	1803
204	463	1796
205	465	1794
206	468	1793
207	469	1789
208	471	1785
209	475	1787
210	476	1783
211	479	1780
212	480	1773
213	481	1767
214	483	1767
215	486	1764
216	488	1762
217	491	1762
218	493	1758
219	495	1755
220	496	1751
221	500	1753
222	502	1750
223	504	1746
224	506	1744
225	508	1741
226	510	1737
227	511	1733
228	513	1727
229	513	1720
230	515	1717
231	517	1714
232	519	1711
233	522	1708
234	523	1703
235	525	1702
236	528	1702
237	530	1698
238	532	1694
239	534	1693
240	537	1691
241	539	1690
242	541	1687
243	543	1682
244	546	1683
245	547	1677
246	549	1674
247	550	1669
248	552	1665
249	554	1663
250	556	1659
251	558	1656
252	560	1653
253	562	1651
254	564	1649
255	567	1648
256	568	1644
257	570	1640
258	571	1635
259	573	1631
260	575	1628
261	577	1626
262	579	1623
263	581	1622
264	584	1622
265	587	1620
266	589	1617
267	590	1612
268	591	1608
269	594	1606
270	596	1605
271	598	1601
272	600	1599
273	602	1596
274	604	1594
275	606	1591
276	608	1589
277	611	1586
278	613	1584
279	615	1582
280	617	1581
281	619	1578
282	621	1575
283	624	1573
284	625	1570
285	628	1567
286	630	1565
287	632	1562
288	633	1559
289	635	1557
290	637	1553
291	639	1550
292	641	1548
293	643	1545
294	645	1543
295	648	1541
296	649	1538
297	651	1535
298	654	1533
299	656	1531
300	658	1528
301	660	1526
302	662	1523
303	664	1521
304	666	1519
305	669	1517
306	671	1515
307	673	1512
308	675	1510
309	677	1508
310	679	1505
311	681	1502
312	683	1499
313	686	1498
314	688	1496
315	690	1494
316	692	1491
317	694	1489
318	696	1486
319	699	1486
320	701	1483
321	703	1480
322	705	1479
323	709	1479
324	711	1477
325	713	1475
326	716	1473
327	718	1472
328	721	1471
329	724	1470
330	726	1468
331	728	1465
332	730	1463
333	732	1460
334	734	1458
335	736	1455
336	739	1455
337	742	1453
338	744	1452
339	747	1451
340	749	1448
341	752	1447
342	754	1444
343	756	1442
344	758	1440
345	760	1437
346	763	1436
347	765	1434
348	767	1431
349	769	1429
350	772	1429
351	775	1427
352	777	1424
353	779	1422
354	781	1419
355	783	1417
356	785	1415
357	788	1413
358	791	1413
359	793	1410
360	795	1408
361	797	1405
362	800	1404
363	802	1401
364	803	1398
365	806	1396
366	808	1394
367	810	1391
368	812	1388
369	814	1386
370	817	1385
371	819	1383
372	822	1381
373	823	1378
374	825	1375
375	827	1373
376	829	1370
377	831	1368
378	834	1366
379	837	1366
380	839	1363
381	841	1361
382	843	1358
383	845	1356
384	847	1353
385	849	1351
386	851	1348
387	853	1346
388	855	1343
389	857	1341
390	859	1339
391	862	1337
392	864	1334
393	866	1332
394	868	1329
395	870	1327
396	872	1324
397	874	1322
398	876	1320
399	878	1317
400	880	1315
401	882	1312
402	884	1309
403	886	1307
404	888	1304
405	890	1302
406	892	1300
407	894	1297
408	896	1295
409	898	1292
410	900	1290
411	902	1287
412	904	1285
413	906	1282
414	908	1280
415	909	1277
416	911	1274
417	913	1272
418	916	1270
419	918	1268
420	920	1266
421	922	1263
422	924	1261
423	926	1258
424	928	1255
425	930	1253
426	932	1251
427	934	1248
428	936	1245
429	938	1243
430	939	1240
431	942	1239
432	944	1236
433	946	1234
434	948	1231
435	950	1229
436	952	1227
437	955	1226
438	957	1223
439	959	1221
