iter	Logloss	Accuracy
0	0.6751146669	0.8112359551
1	0.6622001873	0.808988764
2	0.6470130318	0.8157303371
3	0.6347346267	0.806741573
4	0.6223822796	0.804494382
5	0.6112105707	0.804494382
6	0.5983474193	0.808988764
7	0.5879251017	0.806741573
8	0.578001739	0.806741573
9	0.5702043355	0.802247191
10	0.5623576713	0.802247191
11	0.5544385534	0.804494382
12	0.5452001067	0.804494382
13	0.5369709023	0.806741573
14	0.5300622835	0.806741573
15	0.523823806	0.806741573
16	0.5177307284	0.806741573
17	0.5131698315	0.806741573
18	0.5056807662	0.804494382
19	0.5015749465	0.806741573
20	0.4974153133	0.804494382
21	0.4913906952	0.806741573
22	0.4861845503	0.806741573
23	0.4836564217	0.806741573
24	0.4794722574	0.808988764
25	0.4758657329	0.806741573
26	0.4724015776	0.804494382
27	0.4677512183	0.806741573
28	0.4646689237	0.806741573
29	0.4616788105	0.804494382
30	0.4590663949	0.804494382
31	0.4565887083	0.806741573
32	0.4537952419	0.806741573
33	0.451325722	0.808988764
34	0.4501054211	0.808988764
35	0.4474920473	0.808988764
36	0.4469055214	0.8112359551
37	0.4455793504	0.8134831461
38	0.4423871532	0.8157303371
39	0.4405171438	0.8157303371
40	0.4377635593	0.8224719101
41	0.4333121374	0.8224719101
42	0.4328392762	0.8224719101
43	0.4312844635	0.8269662921
44	0.4286224831	0.8269662921
45	0.4260987316	0.8292134831
46	0.4240266403	0.8292134831
47	0.4225315677	0.8292134831
48	0.4214000489	0.8359550562
49	0.419951568	0.8382022472
50	0.4177721374	0.8382022472
51	0.4145908022	0.8404494382
52	0.4136234912	0.8426966292
53	0.4119114246	0.8516853933
54	0.4098226872	0.8539325843
55	0.4077602053	0.8539325843
56	0.4068847079	0.8539325843
57	0.405718725	0.8539325843
58	0.4049207644	0.8561797753
59	0.4029012079	0.8539325843
60	0.4004164043	0.8494382022
61	0.3989164033	0.8539325843
62	0.3979518085	0.8539325843
63	0.3969361073	0.8561797753
64	0.3956347798	0.8539325843
65	0.3937193379	0.8561797753
66	0.3936753514	0.8561797753
67	0.3927284488	0.8561797753
68	0.3918360857	0.8539325843
69	0.3907677972	0.8539325843
70	0.389773254	0.8561797753
71	0.3889273645	0.8561797753
72	0.3876173021	0.8606741573
73	0.3868368481	0.8606741573
74	0.386559725	0.8584269663
75	0.3854556179	0.8606741573
76	0.3850269068	0.8629213483
77	0.3841015635	0.8629213483
78	0.3823961394	0.8629213483
79	0.3815209187	0.8629213483
80	0.3806779377	0.8629213483
81	0.3802173574	0.8629213483
82	0.3799066007	0.8629213483
83	0.3794414825	0.8629213483
84	0.3789023356	0.8651685393
85	0.3783370902	0.8651685393
86	0.3769398573	0.8696629213
87	0.3747790778	0.8696629213
88	0.3742337394	0.8696629213
89	0.3724496018	0.8719101124
90	0.3720392155	0.8719101124
91	0.3713449899	0.8719101124
92	0.3711188457	0.8741573034
93	0.3711105381	0.8741573034
94	0.3702356691	0.8719101124
95	0.3691346693	0.8696629213
96	0.368305719	0.8719101124
97	0.3665273253	0.8741573034
98	0.3659156184	0.8741573034
99	0.3655241184	0.8741573034
100	0.3647659624	0.8786516854
101	0.3644493198	0.8764044944
102	0.3639086101	0.8786516854
103	0.3630330362	0.8764044944
104	0.3619468784	0.8786516854
105	0.361248726	0.8786516854
106	0.3605487678	0.8786516854
107	0.3596548897	0.8808988764
108	0.3576451731	0.8831460674
109	0.3569563147	0.8831460674
110	0.356772137	0.8831460674
111	0.3562231253	0.8831460674
112	0.3557565356	0.8808988764
113	0.3552291257	0.8831460674
114	0.3547290802	0.8853932584
115	0.3541838043	0.8831460674
116	0.3541640806	0.8853932584
117	0.3521820272	0.8831460674
118	0.351813533	0.8853932584
119	0.351714297	0.8853932584
120	0.3499823041	0.8876404494
121	0.3499019022	0.8898876404
122	0.3495488383	0.8853932584
123	0.3485559868	0.8921348315
124	0.3474812786	0.8898876404
125	0.3471028808	0.8921348315
126	0.3465322369	0.8898876404
127	0.3451071815	0.8921348315
128	0.3448161594	0.8921348315
129	0.3440764963	0.8943820225
130	0.3440487212	0.8943820225
131	0.3433199242	0.8966292135
132	0.3427710843	0.8966292135
133	0.341615542	0.8943820225
134	0.340844047	0.8943820225
135	0.3405009853	0.8966292135
136	0.3397590771	0.8966292135
137	0.3397555542	0.8966292135
138	0.3391286354	0.8966292135
139	0.3382557016	0.8966292135
140	0.337851544	0.8966292135
141	0.3378258801	0.8966292135
142	0.3368075063	0.8943820225
143	0.3361158104	0.8943820225
144	0.3352502609	0.8943820225
145	0.3350530456	0.8943820225
146	0.3343438229	0.8943820225
147	0.3337769572	0.8943820225
148	0.3335404544	0.8943820225
149	0.3329201275	0.8943820225
150	0.3321287565	0.8966292135
151	0.3318416937	0.8988764045
152	0.330434395	0.8966292135
153	0.3298147047	0.8966292135
154	0.3292173085	0.8966292135
155	0.3283645406	0.8966292135
156	0.3283341061	0.8966292135
157	0.328012009	0.8988764045
158	0.3267684465	0.9011235955
159	0.3261412831	0.8988764045
160	0.3247662644	0.9011235955
161	0.3246118405	0.9011235955
162	0.3245002276	0.9011235955
163	0.3242225656	0.9011235955
164	0.3241122651	0.9011235955
165	0.3230338591	0.9011235955
166	0.3228328473	0.9011235955
167	0.3219842879	0.9011235955
168	0.32146004	0.9011235955
169	0.3211177076	0.9011235955
170	0.3199299247	0.9033707865
171	0.3196768603	0.9033707865
172	0.3187550482	0.9033707865
173	0.318644403	0.9033707865
174	0.3184561601	0.9033707865
175	0.3171399764	0.9011235955
176	0.3168397582	0.9011235955
177	0.3159157752	0.9011235955
178	0.3156221578	0.9011235955
179	0.3150281901	0.9011235955
180	0.3146360457	0.9011235955
181	0.3143647593	0.9011235955
182	0.3142409597	0.9011235955
183	0.3138534433	0.9011235955
184	0.3130704073	0.9056179775
185	0.3130391848	0.9056179775
186	0.3129286442	0.9033707865
187	0.3127966993	0.9033707865
188	0.3119424656	0.9011235955
189	0.3111371783	0.9033707865
190	0.3110275283	0.9033707865
191	0.3102570348	0.9033707865
192	0.3094913168	0.9011235955
193	0.3092474019	0.9011235955
194	0.3089886134	0.9033707865
195	0.3079227582	0.9033707865
196	0.3076102062	0.9033707865
197	0.3072790937	0.9033707865
198	0.3068246752	0.9011235955
199	0.3066769961	0.9011235955
200	0.306148487	0.9011235955
201	0.3058327619	0.9011235955
202	0.3056934186	0.9011235955
203	0.3054989837	0.9011235955
204	0.3047219807	0.9011235955
205	0.3041511855	0.9033707865
206	0.3029740342	0.9056179775
207	0.30278632	0.9033707865
208	0.302596953	0.9078651685
209	0.3025948228	0.9078651685
210	0.3023673513	0.9056179775
211	0.3019335681	0.9033707865
212	0.3017897882	0.9033707865
213	0.3009009103	0.9056179775
214	0.3003629381	0.9056179775
215	0.2996867336	0.9056179775
216	0.2994739855	0.9056179775
217	0.2987562093	0.9078651685
218	0.2987342689	0.9078651685
219	0.2979961325	0.9056179775
220	0.2977684924	0.9056179775
221	0.2974565922	0.9056179775
222	0.29735713	0.9056179775
223	0.2955556642	0.9078651685
224	0.2953892875	0.9056179775
225	0.2952129694	0.9056179775
226	0.2949378643	0.9056179775
227	0.2948266935	0.9056179775
228	0.2944516976	0.9056179775
229	0.2941256366	0.9056179775
230	0.2934077605	0.9078651685
231	0.2932846925	0.9078651685
232	0.2927963456	0.9123595506
233	0.2924564404	0.9123595506
234	0.291770076	0.9123595506
235	0.2916690133	0.9123595506
236	0.2912857238	0.9123595506
237	0.2910505722	0.9123595506
