iter	Passed	Remaining
0	10	10656
1	18	9310
2	28	9428
3	39	9880
4	49	9852
5	58	9707
6	70	9979
7	79	9832
8	90	9924
9	93	9238
10	100	9051
11	108	8958
12	118	8995
13	126	8912
14	132	8714
15	140	8654
16	148	8608
17	155	8471
18	164	8516
19	173	8504
20	179	8346
21	189	8429
22	197	8401
23	202	8238
24	211	8240
25	221	8284
26	231	8353
27	242	8409
28	249	8338
29	254	8233
30	260	8151
31	268	8114
32	275	8062
33	281	7998
34	286	7911
35	295	7920
36	299	7784
37	306	7762
38	314	7746
39	322	7747
40	331	7761
41	340	7760
42	347	7736
43	373	8120
44	382	8112
45	389	8073
46	398	8086
47	408	8100
48	418	8116
49	425	8086
50	433	8064
51	438	7995
52	443	7926
53	449	7876
54	454	7808
55	461	7773
56	467	7736
57	472	7680
58	481	7672
59	490	7690
60	499	7693
61	506	7666
62	512	7623
63	520	7613
64	527	7584
65	532	7539
66	535	7460
67	541	7424
68	546	7374
69	553	7359
70	558	7310
71	567	7311
72	573	7286
73	580	7268
74	588	7255
75	597	7264
76	610	7314
77	623	7373
78	633	7379
79	641	7382
80	651	7390
81	660	7392
82	666	7362
83	673	7345
84	680	7325
85	687	7311
86	692	7262
87	700	7264
88	706	7226
89	714	7223
90	717	7165
91	723	7137
92	727	7097
93	730	7036
94	736	7013
95	743	7000
96	750	6988
97	756	6966
98	764	6957
99	771	6945
100	778	6925
101	783	6899
102	788	6866
103	794	6844
104	801	6831
105	808	6815
106	814	6799
107	820	6774
108	828	6771
109	833	6747
110	838	6712
111	844	6693
112	847	6651
113	852	6622
114	858	6607
115	865	6597
116	868	6555
117	873	6528
118	881	6528
119	884	6484
120	890	6467
121	894	6434
122	900	6418
123	906	6406
124	912	6388
125	918	6368
126	923	6347
127	929	6334
128	937	6330
129	942	6305
130	945	6272
131	953	6269
132	960	6261
133	969	6263
134	977	6260
135	985	6259
136	993	6259
137	997	6230
138	1004	6224
139	1014	6229
140	1021	6224
141	1025	6196
142	1032	6188
143	1038	6174
144	1060	6254
145	1062	6213
146	1087	6308
147	1094	6300
148	1097	6267
149	1104	6260
150	1112	6255
151	1117	6232
152	1123	6216
153	1129	6205
154	1137	6200
155	1144	6192
156	1150	6178
157	1157	6169
158	1165	6165
159	1172	6155
160	1180	6151
161	1185	6130
162	1193	6127
163	1202	6129
164	1208	6114
165	1217	6119
166	1230	6140
167	1246	6172
168	1254	6170
169	1262	6162
170	1270	6157
171	1279	6157
172	1286	6147
173	1289	6122
174	1296	6109
175	1303	6102
176	1313	6105
177	1321	6100
178	1328	6092
179	1336	6087
180	1345	6086
181	1354	6087
182	1362	6081
183	1371	6083
184	1380	6080
185	1387	6071
186	1395	6067
187	1399	6046
188	1406	6034
189	1413	6027
190	1418	6006
191	1425	5998
192	1433	5995
193	1441	5990
194	1449	5983
195	1456	5976
196	1465	5972
197	1473	5968
198	1480	5959
199	1484	5937
200	1492	5931
201	1499	5922
202	1504	5905
203	1512	5900
204	1521	5900
205	1530	5898
206	1538	5894
207	1545	5883
208	1553	5878
209	1554	5849
210	1562	5841
211	1571	5841
212	1579	5835
213	1587	5829
214	1594	5821
215	1602	5815
216	1610	5811
217	1618	5806
218	1623	5788
219	1632	5786
220	1640	5781
221	1648	5777
222	1654	5765
223	1662	5758
224	1669	5748
225	1674	5733
226	1680	5723
227	1683	5699
228	1690	5689
229	1696	5680
230	1704	5673
231	1710	5662
232	1717	5654
233	1724	5643
234	1730	5632
235	1737	5623
236	1743	5613
237	1749	5602
238	1756	5592
239	1761	5577
240	1767	5566
241	1772	5550
242	1780	5546
243	1789	5543
244	1796	5536
245	1804	5531
246	1812	5524
247	1818	5515
248	1825	5506
249	1834	5503
250	1842	5497
251	1849	5490
252	1857	5483
253	1864	5475
254	1870	5465
255	1877	5456
256	1881	5440
257	1889	5433
258	1897	5429
259	1916	5455
260	1923	5445
261	1930	5438
262	1939	5434
263	1947	5429
264	1955	5423
265	1962	5416
266	1971	5413
267	1978	5405
268	1987	5399
269	1995	5396
270	2001	5384
271	2008	5375
272	2014	5365
273	2021	5357
274	2029	5350
275	2035	5340
276	2044	5336
277	2051	5326
278	2060	5324
279	2069	5320
280	2079	5321
281	2086	5312
282	2093	5303
283	2100	5296
284	2109	5292
285	2118	5288
286	2135	5304
287	2143	5300
288	2150	5291
289	2157	5281
