iter	Passed	Remaining
0	95	94925
1	99	49431
2	103	34237
3	104	26097
4	109	21729
5	112	18622
6	114	16313
7	116	14507
8	120	13277
9	124	12291
10	126	11334
11	129	10658
12	131	9963
13	132	9346
14	135	8892
15	138	8509
16	141	8192
17	144	7886
18	146	7549
19	149	7304
20	151	7066
21	153	6827
22	155	6587
23	158	6432
24	160	6278
25	164	6170
26	165	5967
27	168	5846
28	171	5734
29	172	5577
30	175	5489
31	179	5425
32	181	5319
33	182	5191
34	185	5105
35	185	4977
36	188	4896
37	190	4827
38	194	4795
39	198	4760
40	202	4733
41	207	4725
42	211	4701
43	214	4655
44	218	4631
45	220	4565
46	223	4524
47	227	4515
48	230	4474
49	233	4436
50	236	4409
51	239	4363
52	241	4321
53	245	4300
54	248	4261
55	250	4218
56	252	4184
57	255	4142
58	255	4077
59	258	4044
60	260	4015
61	263	3992
62	266	3966
63	268	3920
64	270	3895
65	272	3855
66	274	3819
67	276	3787
68	279	3764
69	280	3732
70	281	3683
71	283	3652
72	285	3624
73	289	3616
74	291	3600
75	295	3589
76	297	3565
77	299	3536
78	300	3506
79	304	3501
80	306	3479
81	309	3459
82	310	3435
83	313	3415
84	315	3397
85	318	3389
86	321	3370
87	323	3348
88	325	3336
89	328	3317
90	330	3299
91	331	3273
92	334	3263
93	337	3248
94	339	3231
95	340	3204
96	343	3194
97	346	3189
98	348	3170
99	350	3151
100	352	3135
101	354	3118
102	356	3102
103	359	3098
104	363	3098
105	365	3081
106	367	3067
107	368	3042
108	370	3031
109	372	3015
110	374	3001
111	376	2986
112	379	2980
113	380	2960
114	383	2954
115	386	2942
116	387	2927
117	391	2929
118	394	2918
119	397	2915
120	399	2904
121	401	2890
122	403	2876
123	405	2864
124	407	2851
125	408	2833
126	417	2868
127	426	2908
128	430	2909
129	432	2894
130	436	2897
131	438	2882
132	440	2868
133	441	2852
134	443	2842
135	445	2831
136	448	2823
137	450	2811
138	452	2804
139	455	2797
140	457	2789
141	460	2782
142	463	2775
143	464	2759
144	466	2748
145	467	2737
146	469	2725
147	471	2716
148	473	2706
149	475	2695
150	477	2684
151	479	2673
152	479	2656
153	481	2642
154	483	2635
155	485	2628
156	487	2618
157	489	2609
158	491	2601
159	494	2597
160	496	2584
161	496	2570
162	498	2560
163	500	2549
164	502	2542
165	504	2532
166	506	2525
167	508	2516
168	510	2511
169	512	2504
170	515	2497
171	516	2485
172	518	2477
173	519	2466
174	521	2458
175	523	2449
176	525	2443
177	527	2436
178	529	2429
179	530	2417
180	532	2410
181	535	2405
182	538	2402
183	541	2399
184	543	2393
185	545	2386
186	546	2376
187	547	2366
188	549	2355
189	551	2350
190	554	2347
191	555	2336
192	558	2334
193	561	2331
194	563	2325
195	565	2317
196	568	2317
197	570	2312
198	572	2303
199	574	2299
200	577	2296
201	579	2289
202	582	2287
203	584	2281
204	585	2272
205	589	2272
206	592	2268
207	593	2261
208	596	2259
209	599	2253
210	600	2247
211	603	2243
212	604	2234
213	606	2227
214	608	2222
215	611	2218
216	614	2216
217	616	2211
218	619	2207
219	620	2200
220	623	2197
221	625	2193
222	628	2188
223	630	2183
224	632	2178
225	634	2172
226	636	2167
227	638	2161
228	639	2153
229	640	2144
230	644	2146
231	646	2140
232	648	2135
233	651	2131
234	652	2125
235	655	2122
236	658	2118
237	659	2111
238	661	2105
239	663	2099
240	665	2094
241	666	2089
242	669	2085
243	671	2081
244	674	2078
245	675	2071
246	678	2068
247	680	2063
248	682	2058
249	684	2053
250	686	2047
251	688	2044
252	690	2038
253	694	2038
254	696	2034
255	699	2031
256	701	2027
257	703	2023
258	705	2017
259	708	2016
260	710	2013
261	714	2011
262	716	2006
263	718	2002
264	721	2000
265	722	1994
266	726	1995
267	728	1988
268	730	1984
269	733	1984
270	736	1980
271	738	1977
272	741	1974
273	743	1970
274	745	1966
275	748	1962
276	750	1958
277	753	1957
278	755	1952
279	758	1950
280	761	1948
281	763	1944
282	765	1939
283	767	1935
284	770	1932
285	772	1928
286	774	1925
287	777	1923
288	780	1920
289	784	1920
290	786	1916
